# Time(s) Pressure(Pa)
0.000000e+00 0.000000e+00
0.000000e+00 -1.463726e-19
0.000000e+00 9.918204e-20
0.000000e+00 1.693283e-18
0.000000e+00 3.392827e-18
0.000000e+00 2.193108e-19
0.000000e+00 -1.445954e-17
0.000000e+00 -4.319277e-17
0.000000e+00 -7.672710e-17
0.000000e+00 -8.717636e-17
0.000000e+00 -2.671527e-17
0.000000e+00 1.618249e-16
0.000000e+00 5.168999e-16
0.000000e+00 1.013148e-15
0.000000e+00 1.511010e-15
0.000000e+00 1.726144e-15
0.000000e+00 1.252433e-15
0.000000e+00 -3.306600e-16
0.000000e+00 -3.254905e-15
0.000000e+00 -7.287192e-15
0.000000e+00 -1.144461e-14
0.000000e+00 -1.379866e-14
0.000000e+00 -1.147656e-14
0.000000e+00 -9.408587e-16
0.000000e+00 2.143842e-14
0.000000e+00 5.860331e-14
0.000000e+00 1.120095e-13
0.000000e+00 1.810834e-13
0.000000e+00 2.632335e-13
0.000000e+00 3.546585e-13
0.000000e+00 4.520413e-13
0.000000e+00 5.549810e-13
0.000000e+00 6.687117e-13
0.000000e+00 8.063282e-13
0.000000e+00 9.894211e-13
0.000000e+00 1.245764e-12
0.000000e+00 1.602553e-12
0.000000e+00 2.073754e-12
0.000000e+00 2.640646e-12
0.000000e+00 3.225929e-12
0.000000e+00 3.664838e-12
0.000000e+00 3.682750e-12
0.000000e+00 2.900543e-12
0.000000e+00 9.103580e-13
0.000000e+00 -2.497939e-12
0.000000e+00 -6.815470e-12
0.000000e+00 -9.749130e-12
0.000000e+00 -5.195351e-12
0.000000e+00 2.042608e-11
0.000000e+00 9.455561e-11
0.000000e+00 2.692644e-10
0.000000e+00 6.389406e-10
0.000000e+00 1.368637e-09
0.000000e+00 2.738503e-09
0.000000e+00 5.211984e-09
0.000000e+00 9.538385e-09
0.000000e+00 1.690406e-08
0.000000e+00 2.915080e-08
0.000000e+00 4.908490e-08
0.000000e+00 8.090490e-08
0.000000e+00 1.307800e-07
0.000000e+00 2.076116e-07
0.000000e+00 3.240059e-07
0.000000e+00 4.974716e-07
0.000000e+00 7.518241e-07
0.000000e+00 1.118727e-06
0.000000e+00 1.639204e-06
0.000000e+00 2.364826e-06
0.000000e+00 3.358052e-06
0.000000e+00 4.690918e-06
0.000000e+00 6.440855e-06
0.000000e+00 8.681876e-06
0.000000e+00 1.146868e-05
0.000000e+00 1.481040e-05
0.000000e+00 1.862970e-05
0.000000e+00 2.270206e-05
0.000000e+00 2.656885e-05
0.000000e+00 2.941731e-05
0.000000e+00 2.992039e-05
0.000000e+00 2.603016e-05
0.000000e+00 1.472120e-05
0.000000e+00 -8.314277e-06
0.000000e+00 -4.900934e-05
0.000000e+00 -1.152787e-04
0.000000e+00 -2.173440e-04
0.000000e+00 -3.679531e-04
0.000000e+00 -5.823825e-04
0.000000e+00 -8.780570e-04
0.000000e+00 -1.273561e-03
0.000000e+00 -1.786742e-03
0.000000e+00 -2.431508e-03
0.000000e+00 -3.212854e-03
0.000000e+00 -4.119538e-03
0.000000e+00 -5.113755e-03
0.000000e+00 -6.117145e-03
0.000000e+00 -6.992438e-03
0.000000e+00 -7.520200e-03
0.000000e+00 -7.370351e-03
0.000000e+00 -6.068567e-03
0.000000e+00 -2.958350e-03
0.000000e+00 2.839503e-03
0.000000e+00 1.246697e-02
0.000000e+00 2.736360e-02
0.000000e+00 4.928914e-02
0.000000e+00 8.032432e-02
0.000000e+00 1.228373e-01
0.000000e+00 1.794002e-01
0.000000e+00 2.526353e-01
0.000000e+00 3.449710e-01
0.000000e+00 4.582788e-01
0.000000e+00 5.933692e-01
0.000000e+00 7.493163e-01
0.000000e+00 9.225918e-01
0.000000e+00 1.105990e+00
